question,reponse,src,rag_answer
Quelles sont les responsabilités du rectorat de l'université ?,"Le rectorat veille à la réalisation des missions et objectifs de l'université, au respect des valeurs académiques et éthiques, et à la réputation de l'université. La composition et le mode de désignation du rectorat sont régis par les articles 27 à 29 de la Loi sur l'université. Le recteur ou la rectrice est désigné(e) par l'assemblée de l'université après consultation du conseil d'orientation stratégique et nommé(e) par le Conseil d'État.",Statut-Version-1juillet2021.pdf,"Le rectorat de l'Université de Genève est responsable de surveiller et de coordonner l'application du règlement de l'université, en veillant à une interprétation et une application cohérentes dans chaque UPER/UER. Il peut déléguer certaines compétences à une commission ad hoc. Le rectorat est également l'autorité d'engagement pour les membres du corps des collaborateurs/trices de l'enseignement et de la recherche, bien que cette compétence soit déléguée au Décanat de l'UPER et à la direction de l'UER concernées pour certaines fonctions. En outre, le rectorat prend les décisions relatives au personnel conformément aux lois cantonales et sollicite l'avis du Décanat de l'UPER concernée avant de prendre des décisions. Il est aussi impliqué dans les procédures de plainte en cas de violation de la règle de préférence dans les nominations."
Comment sont désignés les membres de l'assemblée de l'université ?,La composition de l'assemblée de l'université est conforme à l'article 31 de la Loi. Les membres sont désignés conformément aux dispositions du titre II du statut.,Statut-Version-1juillet2021.pdf,"Les membres de l'assemblée de l'université sont élus à titre personnel et exercent leurs fonctions en toute liberté, sans pouvoir être liés par un mandat impératif. Ils sont élus par scrutin secret selon le système proportionnel, conformément à l'article 38 du statut de l'université. Toutefois, l'élection des neuf membres du corps professoral à l'assemblée de l'université se fait au système majoritaire, comme prévu par l'article 48 alinéa 2 du statut de l'université. Les modalités de désignation sont fixées dans un règlement établi par le Rectorat."
Quelles sont les conditions pour être considéré comme étudiant ou étudiante à l'université ?,Une personne est considérée comme étudiant ou étudiante si elle est immatriculée à l'université et inscrite dans une unité principale d'enseignement et de recherche en vue d'obtenir un titre universitaire. Cela inclut également les personnes inscrites dans un centre ou institut interfacultaire. Les étudiants ou étudiantes qui préparent une thèse de doctorat sont immatriculés pendant toute la durée de leur travail de thèse.,Statut-Version-1juillet2021.pdf,"Pour être considéré comme étudiant ou étudiante à l'Université de Genève, il faut remplir les conditions générales d'immatriculation requises par l'Université, ainsi que les conditions spécifiques fixées par chaque règlement d'études en fonction du titre délivré. Les candidats non titulaires d'un certificat de maturité ou d'un titre jugé équivalent doivent satisfaire à des conditions supplémentaires, telles que passer des examens ou constituer un dossier d'admission, selon la faculté et le programme choisis. De plus, les étudiants doivent respecter les conditions particulières d'admission au sein de l'UPER/UER concernée et de la formation briguée, comme prévu dans les règlements d'études correspondants."
Quels sont les critères d'élimination d'un étudiant ou d'une étudiante de l'université ?,"Un étudiant ou une étudiante est éliminé(e) d'une unité principale d'enseignement et de recherche ou d'un centre ou institut interfacultaire s'il/elle échoue à un examen ou à une session d'examens sans possibilité de se représenter, ou s'il/elle ne subit pas les examens ou n'obtient pas les crédits requis dans les délais fixés par le règlement d'études.",Statut-Version-1juillet2021.pdf,"Les critères d'élimination d'un étudiant ou d'une étudiante de l'Université de Genève sont les suivants :

1. L'étudiant qui a répété sans succès l'année propédeutique.
2. L'étudiant qui ne peut plus répéter l’évaluation d’un enseignement des études de base, d’un certificat complémentaire, d’un certificat de spécialisation, d’un complément de bachelor ou du master of advanced studies (MAS) ou d’un certificat ou diplôme de formation continue non réussie.
3. L'étudiant qui n’a pas obtenu au moins 20 crédits ECTS durant les 2 premiers semestres de ses études de bachelor ou de master.
4. L'étudiant qui ne peut plus répéter l’évaluation d’un enseignement à option dans les limites fixées.
5. L'étudiant qui n'a pas obtenu le titre brigué dans les délais d'études prescrits, qui varient selon le nombre de crédits ECTS du titre.
6. En cas d’obtention d’équivalences, l'élimination intervient lors du dépassement des délais cités pour l'obtention du titre.
7. Pour les études à temps partiel, les délais sont ceux communiqués par écrit par le doyen ou le vice-doyen en charge des étudiants.
8. Les cas de fraude, plagiat, tentative de fraude ou de plagiat sont également réservés.
9. Les éliminations sont prononcées par le doyen.
10. Les dispositions particulières des règlements relatifs aux certificats complémentaires, aux certificats de spécialisation, aux masters of advanced studies (MAS) et aux titres de formation continue sont réservées."
Quelles sont les conditions pour l'exmatriculation d'un étudiant ou d'une étudiante ?,"L'exmatriculation est demandée par l'étudiant ou l'étudiante quittant l'université. Elle ne peut être demandée pendant les sessions d'examens et jusqu'à la notification des décisions d'élimination. L'exmatriculation d'office survient si l'étudiant ou l'étudiante ne se conforme pas aux règles, ne s'inscrit pas au semestre ou ne paie pas les taxes semestrielles, ou a obtenu le titre visé et n'est pas inscrit à un autre titre.",Statut-Version-1juillet2021.pdf,"Les conditions pour l'exmatriculation d'un étudiant ou d'une étudiante de l'Université de Genève sont les suivantes :

1. L'étudiant qui a répété sans succès l'année propédeutique.
2. L'étudiant qui ne peut plus répéter l’évaluation d’un enseignement des études de base, d’un certificat complémentaire, d’un certificat de spécialisation, d’un complément de bachelor ou du master of advanced studies (MAS) ou d’un certificat ou diplôme de formation continue non réussie.
3. L'étudiant qui n’a pas obtenu au moins 20 crédits ECTS durant les 2 premiers semestres de ses études de bachelor ou de master.
4. L'étudiant qui ne peut plus répéter l’évaluation d’un enseignement à option dans les limites fixées.
5. L'étudiant qui n'a pas obtenu le titre brigué dans les délais d'études prescrits, qui varient selon le nombre de crédits ECTS du titre.
6. En cas d’obtention d’équivalences, l'élimination intervient lors du dépassement des délais cités pour l'obtention du titre.
7. Pour les études à temps partiel, les délais sont ceux communiqués par écrit par le doyen ou le vice-doyen en charge des étudiants.
8. Les cas de fraude, plagiat, tentative de fraude ou de plagiat sont également réservés.
9. Les éliminations sont prononcées par le doyen.
10. Les dispositions particulières des règlements relatifs aux certificats complémentaires, aux certificats de spécialisation, aux masters of advanced studies (MAS) et aux titres de formation continue sont réservées."
Quel est le montant des taxes universitaires par semestre ?,Les taxes universitaires s'élèvent à Fr. 500.- par semestre et par étudiant suivant une formation de base ou approfondie.,RItaxes-2021.pdf,Le montant des taxes universitaires par semestre à l'Université de Genève est de Fr. 500.-.
Qui est automatiquement exonéré des taxes d'encadrement ?,"Les catégories exonérées automatiquement des taxes d'encadrement incluent les assistants rétribués par le Département de l'instruction publique ou par un fonds universitaire, ainsi que les assistants dont l’immatriculation en vue d’un doctorat intervient à la fin d’un semestre en cours.",RItaxes-2021.pdf,"Les catégories de personnes automatiquement exonérées des taxes d'encadrement à l'Université de Genève sont :

a) les assistant-es rétribués par le Département de l'instruction publique ou par un fonds universitaire pour tout enseignement qu'ils peuvent suivre, ainsi que les assistant-es immatriculés en vue d'un doctorat à la fin d'un semestre en cours qui ne peuvent pas suivre d'enseignement sur leur premier semestre ;

b) les auxiliaires de l'enseignement et de la recherche ayant un contrat d'engagement avec l'Université de Genève pour tout enseignement qu'ils peuvent suivre ;

c) les étudiant-es en stage dans le cadre de leur programme de formation, sans encadrement spécifique du stage par la structure dispensant la formation et sans évaluation de prestation d'études offerte par l'Université pendant le semestre de stage, hormis le stage lui-même ;

d) les boursier-es et tout-e étudiant-e de l'Université en mobilité dans le cadre d'un échange entre universités, à condition qu'aucune prestation d'études offerte par l'Université pendant le semestre de mobilité ne soit évaluée."
Comment peut-on obtenir une exonération des taxes d'encadrement en cas de situation financière difficile ?,Les étudiants en situation financière difficile doivent adresser une demande d'exonération au Service des aides financières de l'Université. La décision d'exonération est valable pour une année académique et doit être renouvelée chaque année.,RItaxes-2021.pdf,"Pour obtenir une exonération des taxes d'encadrement en cas de situation financière difficile à l'Université de Genève, l'étudiant-e doit adresser une demande au Service des aides financières de l'Université selon les conditions et dans les délais indiqués par ce service. Tous les éléments justificatifs doivent être joints à la demande. Cette demande suspend le paiement des taxes d'encadrement semestrielles jusqu'à ce qu'une décision soit rendue. Si l'exonération est accordée, elle n'est valable que pour une année académique. Pour bénéficier d'une nouvelle exonération l'année suivante, il est nécessaire de déposer une nouvelle demande dans les délais impartis."
Quelles sont les conditions pour le remboursement des taxes d'encadrement ?,"Les étudiants peuvent demander un remboursement des taxes d'encadrement si ils requièrent leur exmatriculation au plus tard six semaines après le début du semestre, ou si ils ont obtenu un titre universitaire et se sont déjà acquitté des taxes du semestre suivant.",RItaxes-2021.pdf,"Les conditions pour le remboursement des taxes d'encadrement à l'Université de Genève sont les suivantes :

1. Un étudiant qui requiert son exmatriculation de l'Université au plus tard six semaines après le début du semestre en cours peut demander le remboursement des taxes d'encadrement, à condition d'adresser la demande au service compétent pour les taxes universitaires. La taxe fixe reste cependant acquise à l'Université.

2. Un étudiant ayant obtenu un titre universitaire et s'étant déjà acquitté des taxes du semestre suivant celui de la réussite de son cursus d'études peut demander le remboursement des taxes d'encadrement pour ce semestre, à condition qu'il ne soit pas inscrit à une autre formation de base ou approfondie au sein de l'Université pour ce semestre-là. La demande doit également être adressée au service compétent pour les taxes universitaires. La taxe fixe reste acquise à l'Université."
Quelles sont les obligations financières pour une réimmatriculation après exmatriculation ?,Les étudiants exmatriculés qui demandent une réimmatriculation doivent s'acquitter de toute éventuelle dette relative à des taxes universitaires dues.,RItaxes-2021.pdf,"Pour une réimmatriculation après exmatriculation à l'Université de Genève, l'étudiant-e est tenu de s'acquitter préalablement de toute éventuelle dette relative à des taxes universitaires dues, sous réserve du délai de prescription. De plus, conformément à l'article 11, alinéa 4, tout candidat à une nouvelle immatriculation doit s’acquitter d'un émolument de CHF 50.-, même si la nouvelle demande est formée dans les délais."
Quelles sont les règles relatives aux taxes universitaires en cas d'élimination ?,"En cas d'élimination, les taxes fixes du semestre suivant sont dues. Le paiement des taxes d’encadrement est suspendu jusqu’à la décision sur l’opposition. Si l’opposition est acceptée, les taxes d’encadrement sont dues pour l'entier du semestre.",RItaxes-2021.pdf,"En cas d'élimination, conformément à l'article 7a du règlement interne relatif aux taxes universitaires et aux émoluments de l'Université de Genève, les règles relatives aux taxes universitaires sont les suivantes :

1. Si l'étudiant-e poursuit sa formation et qu'une opposition à l'élimination est en cours de traitement, les taxes fixes du semestre qui suit l'élimination sont dues dans le délai usuel.

2. Le paiement des taxes d'encadrement semestrielles est suspendu jusqu'à ce qu'une décision sur l'opposition à l'élimination soit rendue.

3. Si l'opposition à l'élimination est acceptée, les taxes d'encadrement sont dues pour l'entier du semestre.

4. Si l'opposition à l'élimination est rejetée, les taxes fixes restent acquises à l'Université, mais les taxes d'encadrement ne sont pas dues."
